Year,Title,Citation_key,Category,From_Syst/Unsyst_search,Comment
2014,"Population status and habitat association of the Ethiopian wolf in the Shnien Mountains National Park, Ethiopia",Yihune2014355,Read - Data available,2,
1986,A population dynamics model of black bears in eastcentral Ontario.,Yodzis1986602,Read - Data available,2,
1982,The effect of rabies on different fox populations in the south-west of the Federal Republic of Germany,Zimen1982257,Read - Data available,2,
2007,Importance of dispersal for the expansion of a Eurasian lynx Lynx lynx population in a fragmented landscape,Zimmermann2007358,Read - Data available,2,
2017,Recent invasion of European red foxes (Vulpes vulpes) on to Fraser Island (K'gari) and South Stradbroke Island,Allen2017752,Read - No Data available,2,No trend data
2006,The decline of jaguars Panthera onca in the Argentine Chaco,Altrichter2006302,Read - No Data available,2,Range contraction/expansion
2015,Recruitment in a social carnivore before and after harvest,Ausband2015415,Read - No Data available,2,No trend data
2015,"Population estimates and conservation of felids (Carnivora: Felidae) in northern Quintana Roo, Mexico [Estimación poblacional y conservación de felinos (Carnivora: Felidae) en el norte de Quintana Roo, México]",AvilaNajera2015799,Read - No Data available,2,Spanish
2013,Research to regulation: Cougar social behavior as a guide for management,Beausoleil2013680,Read - No Data available,2,No trend data
2013,Estimating past and future male loss in three Zambian lion populations,Becker2013128,Read - No Data available,2,No trend data
2013,Slow recruitment in a red-fox population following poison baiting: A non-invasive mark-recapture analysis,Berry2013615,Read - No Data available,2,No time points
2011,Variation in life history and demography of the American black bear,Beston20111588,Read - No Data available,2,Asymptotic growth
2009,The magnitude and selectivity of natural and multiple anthropogenic mortality causes in hunted brown bears,Bischof2009656,Read - No Data available,2,No trend data
1974,Recovery of Reduced Fox Populations in Rabies Control,Bogel1974401,Read - No Data available,2,Simulation
2005,Effects of trapping with bait on bait-station indices to black bear abundance,Brongo20051357,Read - No Data available,2,No trend data
2011,The arabian leopard panthera pardus nimr conservation breeding programme,Budd2011141,Read - No Data available,2,Captive
2014,"Noninvasive sampling and genetic variability, pack structure, and dynamics in an expanding wolf population",Caniglia201441,Read - No Data available,2,No trend data
2008,Decline of large mammals in the Katavi-Rukwa ecosystem of western Tanzania,Caro200899,Read - No Data available,2,Data already captured
2013,"Integrating research with management: The case of Katavi National Park, Tanzania",Caro20131,Read - No Data available,2,Data already captured
1999,Giant panda (Ailuropoda melanoleuca) population dynamics and bamboo (subfamily Bambusoideae) life history: A structured population approach to examining carrying capacity when the prey are semelparous,Carter1999,Read - No Data available,2,Simulation
2012,Shaping carnivore communities by predator control: Competitor release revisited,Casanovas2012603,Read - No Data available,2,Simulation
2013,Threats to faunal diversity of the aravalli hills with special reference to Kumbhalgarh wildlife sanctuary,Chhangani201393,Read - No Data available,2,Data already captured
2013,Are isle royale's wolves chasing extinction?,Christine2013919,Read - No Data available,2,News piece
2007,Using pregnancy rates and perinatal mortality to evaluate the success of recovery strategies for endangered island foxes,Clifford2007442,Read - No Data available,2,No trend data
2011,Predicting how populations decline to extinction,Collen2011,Read - No Data available,2,Community estimated trend
2015,Impacts of mesopredator control on conservation of mesopredators and their prey,Conner2015,Read - No Data available,2,No trend data
1998,"Status of the yellowstone grizzly bear population: Has it recovered, should it be delisted?",Craighead1998597,Read - No Data available,2,No trend data
2004,Demography and population dynamics of African wild dogs in three critical populations,Creel2004,Read - No Data available,2,Not peer reviewed + No end date
2010,"Meta-analysis of relationships between human offtake, total mortality and population dynamics of gray wolves (Canis lupus)",Creel2010,Read - No Data available,2,No trend data
2016,"Assessing the sustainability of African lion trophy hunting, with recommendations for policy",Creel20162347,Read - No Data available,2,Simulation
1998,New insights on cheetah conservation through demographic modeling,Crooks1998889,Read - No Data available,2,No trend data
2007,Effects of hunting on demographic parameters of American black bears,Czetwertynski20071,Read - No Data available,2,No trend data
2009,A Critical Assessment of South Africa's Managed Metapopulation Recovery Strategy for African Wild Dogs,DaviesMostert200910,Read - No Data available,2,No trend data
1991,Estimation of growth and extinction parameters for endangered species,Dennis1991,Read - No Data available,2,Data already captured
2013,"Demography of a carnivore, the red fox, Vulpes vulpes: What have we learnt from 70 years of published studies?",DevenishNelson2013705,Read - No Data available,2,Simulation
2014,A Retrospective evaluation of the global decline of carnivores and ungulates,DiMarco2014,Read - No Data available,2,Community estimated trend
2014,Defaunation in the Anthropocene,Dirzo2014,Read - No Data available,2,Community estimated trend
2004,"Population demography and spatial ecology of a reintroduced lion population in the Greater Makalali Conservancy, South Africa",Druce2004103,Read - No Data available,2,No trend data
1994,Population trend of the Yellowstone grizzly bear as estimated from reproductive and survival rates,Eberhardt1994360,Read - No Data available,2,No time points
2013,Non-Adaptive Phenotypic Evolution of the Endangered Carnivore Lycaon pictus,Edwards2013,Read - No Data available,2,No trend data
2012,Gray wolves and the endangered species act,Ewing20121,Read - No Data available,2,Perspective
2014,"Genetic structure of expanding wolf (Canis lupus) populations in Italy and Croatia, and the early steps of the recolonization of the Eastern Alps",Fabbri2014138,Read - No Data available,2,No trend data
2008,Land-cover change and the future of the Apennine brown bear: A perspective from the past,Falcucci20081502,Read - No Data available,2,No trend data
2017,"The critically endangered Asiatic cheetah Acinonyx jubatus venaticus in Iran: a review of recent distribution, and conservation status",Farhadinia20171027,Read - No Data available,2,No time points
2010,Are Cantabrian brown bears recovering?,Fernandez-Gil2010121,Read - No Data available,2,Response
1992,"Rates and causes of mortality in a fragmented population of Iberian lynx Felis pardina Temminck, 1824",Ferreras1992197,Read - No Data available,2,No trend data
2005,Assessing uncertainty in ecological systems using global sensitivity analyses: A case example of simulated wolf reintroduction effects on elk,Fieberg2005259,Read - No Data available,2,No trend data
2003,Two centuries of the Scandinavian wolf population: Patterns of genetic variability and migration during an era of dramatic decline,Flagstad2003869,Read - No Data available,2,No trend data
2001,The conservation role of captive African wild dogs (Lycaon pictus),Frantzen2001253,Read - No Data available,2,Captive
2003,Life history analysis for black bears (Ursus americanus) in a changing demographic landscape,Freedman200347,Read - No Data available,2,Simulation
2001,"Culture, commerce, and international co-operation in the global recovery of Polar Bears",Freeman2001161,Read - No Data available,2,No trend data
2006,The role of lethal control in managing the effects of apparent competition on endangered prey species,Gibson20061220,Read - No Data available,2,Perspective
2017,"Camera-trapping confirms unheralded disappearance of the leopard (Panthera pardus) from Waza National Park, Cameroon",Giordano2017722,Read - No Data available,2,No time points
2005,"An historical overview on captive breeding attempts of the Apennine brown bear, Ursus arctos marsicanus Altobello",Gippoliti2005248,Read - No Data available,2,Captive
2007,Survival and cause-specific mortality of red foxes in agricultural and urban areas of Illinois,Gosselink20071862,Read - No Data available,2,No trend data
2017,Anthropogenic disturbance induces opposing population trends in spotted hyenas and African lions,Green20171,Read - No Data available,2,Change in group/litter size . Not change in population size or number of litters/groups
2014,Surveys of lions Panthera leo in protected areas in Zimbabwe yield disturbing results: What is driving the population collapse?,Groom2014385,Read - No Data available,2,No trend data
2002,Population viability analysis of giant pandas in the Yele Nature Reserve,Guo200235,Read - No Data available,2,Simulation
2005,Estimating larger carnivore numbers from track counts and measurements,Gusset2005,Read - No Data available,2,One data point
2009,"Responses of tiger (Panthera tigris) and their prey to removal of anthropogenic influences in Rajaji National Park, India",Harihar200997,Read - No Data available,2,One data point
2010,Use of photographic capture-recapture sampling to estimate density of Striped Hyena (Hyaena hyaena): Implications for conservation,Harihar2010,Read - No Data available,2,One data point
2011,Study design and sampling intensity for demographic analyses of bear populations,Harris201124,Read - No Data available,2,Simulation
2002,Monitoring Amur tiger populations: Characteristics of track surveys in snow,Hayward20021150,Read - No Data available,2,No trend data
2008,Impacts of differential prey dynamics on the potential recovery of endangered arctic fox populations,Henden20081086,Read - No Data available,2,Simulation
2009,Phase-dependent effect of conservation efforts in cyclically fluctuating populations of arctic fox (Vulpes lagopus),Henden20092586,Read - No Data available,2,Simulation
2017,Effects of anthropogenic mortality on Critically Endangered red wolf Canis rufus breeding pairs: Implications for red wolf recovery,Hinton2017174,Read - No Data available,2,Data already captured
1999,On rate of increase (r): Patterns of variation in australian mammals and the implications for wildlife management,Hone1999709,Read - No Data available,2,No time points
2012,Consequences of variation in male harem size to population persistence: Modeling poaching and extinction risk of Bengal tigers (Panthera tigris),Horev201222,Read - No Data available,2,Simulation
2009,Behavioral changes associated with a population density decline in the facultatively social red fox,Iossa2009385,Read - No Data available,2,No trend data
1998,"Assessing the viability of Scandinavian brown bear, Ursus arctos, populations: the effects of uncertain parameter estimates",ISI000076942100025,Read - No Data available,2,No time points
1999,"Rates and causes of grizzly bear mortality in the interior mountains of British Columbia, Alberta, Montana, Washington, and Idaho",ISI000081441500017,Read - No Data available,2,No trend data
2004,"Relationships between Asiatic black bear kills and depredation costs in NaganoPrefecture, Japan",ISI000227982400006,Read - No Data available,2,No trend data
2001,"Misconceptions, ironies, and uncertainties regarding trends in bear populations",ISI000229925700033,Read - No Data available,2,Perspective
2007,"Genetic viability and population history of the Giant Panda, Putting an End to the `Evolutionary dead end'?",ISI000248848400027,Read - No Data available,2,No trend data
2009,Ecological Determinants of Survival and Reproduction in the Spotted Hyena,ISI000265309700019,Read - No Data available,2,Change in group/litter size . Not change in population size or number of litters/groups
2009,The Declines of the Wild Rabbit (Oryctolagus cuniculus) and the Iberian Lynx (Lynx pardinus) in Spain: Redirecting Conservation Efforts,ISI000268981200011,Read - No Data available,2,Range contraction/expansion
2009,Demographic costs of inbreeding revealed by sex-specific genetic rescue effects,ISI000273073900001,Read - No Data available,2,Wrong taxa
2010,Genetic introgression and the survival of Florida panther kittens,ISI000283412300043,Read - No Data available,2,No trend data
2010,Uncertainty in Population Growth Rates: Determining Confidence Intervals from Point Estimates of Parameters,ISI000283422100023,Read - No Data available,2,No time points
2011,Former range and decline of the Iberian lynx (Lynx pardinus) reconstructed using verified records,ISI000296021600017,Read - No Data available,2,Range contraction/expansion
2013,The competitor release effect applied to carnivore species: how red foxes can increase in numbers when persecuted,ISI000325910300005,Read - No Data available,2,Simulation
2016,"Status and Distribution of Malayan Sun Bear in Namdapha Tiger Reserve, Arunachal Pradesh, India",ISI000377963800013,Read - No Data available,2,No trend data
2016,Allee effect in polar bears: a potential consequence of polychlorinated biphenyl contamination,ISI000390349900017,Read - No Data available,2,No trend data
2017,Survival and divergence in a small group: The extraordinary genomic history of the endangered Apennine brown bear stragglers,ISI000414631200021,Read - No Data available,2,No trend data
2017,Spatially varying density dependence drives a shifting mosaic of survival in a recovering apex predator (Canis lupus),ISI000415900800026,Read - No Data available,2,No trend data
1992,Mitochondrial DNA Variability of the Gray Wolf - Genetic Consequences of Population Decline and Habitat Fragmentation,ISIA1992KE95400011,Read - No Data available,2,No trend data
1993,Numerical Response and Diet Selectivity of Foxes (Pseudalopex Spp) Faced With a Prey Decrease in Northern Chile,ISIA1993LW26400008,Read - No Data available,2,Wrong taxa
1996,Science and management of Rocky Mountain grizzly bears,ISIA1996VC10300018,Read - No Data available,2,No trend data
2015,Predicting harvest vulnerability for a recovering population of American black bears in western Maryland,Jones201597,Read - No Data available,2,No trend data
2016,Can poaching inadvertently contribute to increased public acceptance of Wolves in Scandinavia?,Kaltenborn2016179,Read - No Data available,2,Data already captured
2011,Current status of wildlife and conservation in Afghanistan,Kanderian2011281,Read - No Data available,2,No time points
2006,"Status of the Eurasian lynx (Lynx lynx) in the Black Forest region, South Western Germany",Kaphegyi2006172,Read - No Data available,2,No trend data
2012,Red wolf natal dispersal characteristics: Comparing periods of population increase and stability,Karlin2012266,Read - No Data available,2,No trend data
2009,Demography and genetic structure of a recovering grizzly bear population,Kendall20093,Read - No Data available,2,One data point
2002,"Population status of the persian leopard (panthera pardus saxicolor pocock, 1927) in iran",Kiabi200241,Read - No Data available,2,One data point
2017,Reproductive characteristics of a coyote population before and during exploitation,Kilgo20171386,Read - No Data available,2,No trend data
2009,"Modeling the effects of human-caused mortality on the brown bear population on the Shiretoko peninsula, hokkaido, Japan",Kohira200912,Read - No Data available,2,Simulation
2009,"Is alloparenting helpful for Mednyi Island arctic foxes, Alopex lagopus semenovi?",Kruchenkova2009457,Read - No Data available,2,No trend data
1999,Species-specific population dynamics of cervids in a multipredator ecosystem,Kunkel19991082,Read - No Data available,2,No trend data
2005,Yearling and subadult black bear survival in a hunted Virginia population,Lee20051641,Read - No Data available,2,No trend data
2016,Composition of medium and large mammals in forest reserve in the cerrado of Brazil central [Composição de médios e grandes mamíferos em reserva florestal no cerrado do Brasil central],Leite2016825,Read - No Data available,2,No trend data
2008,Native Great Lakes wolves were not restored,Leonard200895,Read - No Data available,2,Palaeo
1999,Introduction and range expansion of nonnative red foxes (Vulpes vulpes) in California,Lewis1999372,Read - No Data available,2,Invasive + Range contraction/expansion
2014,Modeling black bear population dynamics in a human-dominated stochastic environment,Lewis201451,Read - No Data available,2,Simulation
2004,The distribution and population status of African wild dogs (Lycaon pictus) outside protected areas in South Africa,Lindsey2004143,Read - No Data available,2,No trend data
2006,The rise and fall of bobcat populations in New Hampshire: Relevance of historical harvests to understanding current patterns of abundance and distribution,Litvaitis2006517,Read - No Data available,2,Harvest data only - Don’t directly attribute harvest to population size
2010,"Effects of food supplementation on home-range size, reproductive success, productivity and recruitment in a small population of Iberian lynx",LopezBao201035,Read - No Data available,2,No trend data
2004,Evidence of genetic distinction and long-term population decline in wolves (Canis lupus) in the Italian Apennines,Lucchini2004523,Read - No Data available,2,No trend data
2008,Bobcat spatial distribution and habitat use relative to population reduction,Lynch2008107,Read - No Data available,2,No trend data
2013,"The fall and rise of Ethiopian wolves: Lessons for conservation of long-lived, social predators",Marino2013621,Read - No Data available,2,Data already captured
2006,Inventory of large and medium-sized mammals in south-western Cameroon,Matthews2006276,Read - No Data available,2,No trend data
2004,A model-based appraisal of habitat conditions for grizzly bears in the Cabinet-Yaak region of Montana and Idaho,Mattson200476,Read - No Data available,2,No trend data
2003,Population viability of barren-ground grizzly bears in Nunavut and the Northwest Territories,McLoughlin2003185,Read - No Data available,2,No trend data
2009,Blandowski's mammals: Clues to a lost world,Menkhorst200961,Read - No Data available,2,No trend data
2011,"Trends in intensive management of Alaska's grizzly bears, 1980-2010",Miller20111243,Read - No Data available,2,No trend data
2014,"Rapid growth rates of lion (Panthera leo) populations in small, fenced reserves in South Africa: A management dilemma",Miller201443,Read - No Data available,2,Lots of population data but it is essentially unuseable
2007,Demographic side effects of selective hunting in ungulates and carnivores: Review,Milner200736,Read - No Data available,2,No trend data
2002,Harvest as a component of Greater Yellowstone Ecosystem grizzly bear management,Mincher20021287,Read - No Data available,2,Perspective
2009,Clues to the cause of the Tsushima leopard cat (Prionailurus bengalensis euptilura) decline from isotopic measurements in three species of Carnivora,Mitani2009897,Read - No Data available,2,No trend data
2017,Mapping range dynamics from opportunistic data: Spatiotemporal modelling of the lynx distribution in the Alps over 21 years,MolinariJobin2017,Read - No Data available,2,Range contraction/expansion
2014,Unregulated hunting and genetic recovery from a severe population decline: The cautionary case of Bulgarian wolves,Moura2014405,Read - No Data available,2,No trend data
1996,Lynx recruitment during a snowshoe hare population peak and decline in southwest Yukon,Mowat1996441,Read - No Data available,2,Change in group/litter size . Not change in population size or number of litters/groups
2004,"The Practices of Wolf Persecution, Protection, and Restoration in Canada and the United States",Musiani200450,Read - No Data available,2,No trend data
2003,Changes in red fox habitat preference and rest site fidelity following a disease-induced population decline,Newman200379,Read - No Data available,2,No trend data
1997,"Husbandry, breeding and population development of the Sri Lankan rusty-spotted cat Prionailurus rubiginosus phillipsi [Dmoch R.]",NoAuthor1997115,Read - No Data available,2,Captive
2016,"Geographical analysis and conservation of the andean fox lycalopex culpaeus (Mammalia, canidae) in Colombia [Análisis geográfico y conservación del zorro andino lycalopex culpaeus (Mammalia, Canidae) en Colombia]",NogueraUrbano2016,Read - No Data available,2,Spanish
2008,Demography of black bears in hunted and unhunted areas of the boreal forest of Ontario,Obbard2008869,Read - No Data available,2,No trend data
2014,Bears are simply voles writ large: Social structure determines the mechanisms of intrinsic population regulation in mammals,Odden20141,Read - No Data available,2,No trend data
2004,Monitoring large mammals in high Andean prairies and cloud forests in Bolivia [Monitoreo de grandes mamíferos en praderas altoandinas y bosques nublados de Bolivia],Pacheco2004121,Read - No Data available,2,Spanish
2009,"Sport hunting, predator control and conservation of large carnivores",Packer2009,Read - No Data available,2,Simulation
2005,Reproduction and pre-dispersal survival of Iberian lynx in a subpopulation of the Doñana National Park,Palomares200553,Read - No Data available,2,No trend data
2008,"Flawed population viability analysis can result in misleading population assessment: A case study for wolves in Algonquin park, Canada",Patterson2008669,Read - No Data available,2,Data already captured
2016,Modeling Population-Level Consequences of Polychlorinated Biphenyl Exposure in East Greenland Polar Bears,Pavlova2016143,Read - No Data available,2,Simulation
2006,Morphological consequences of range fragmentation and population decline on the endangered Iberian lynx (Lynx pardinus),Pertoldi200673,Read - No Data available,2,No trend data
1983,"Wolf- moose fluctuations at Isle Royale National Park, Michigan, USA.",Peterson1983251,Read - No Data available,2,No trend data
1998,Status of wild andean bears and policies for their management,Peyton199887,Read - No Data available,2,No trend data
2003,Last lynxes in Portugal? Molecular approaches in a pre-extinction scenario,Pires2003525,Read - No Data available,2,No trend data
2013,Quantifying behavioral changes in territorial animals caused by sudden population declines,Potts2013,Read - No Data available,2,Data already captured
2010,"Ecological investigations of grizzly bears in Canada using DNA from hair, 1995-2005: A review of methods and progress",Proctor2010169,Read - No Data available,2,No trend data
2000,Predicting extinction risk in declining species,Purvis20001947,Read - No Data available,2,No trend data
2003,Beyond demography and delisting: Ecological recovery for Yellowstone's grizzly bears and wolves,Pyare200363,Read - No Data available,2,No trend data
2007,Inbreeding is reduced by female-biased dispersal and mating behavior in Ethiopian wolves,Randall2007579,Read - No Data available,2,No trend data
2011,Planning for success: Identifying effective and efficient survey designs for monitoring,Reynolds20111278,Read - No Data available,2,Data already captured
2007,Linking resources with demography to understand resource limitation for bears,ReynoldsHogland20071166,Read - No Data available,2,Data already captured
 Brongo20051029,Polar bear (Ursus maritimus) life history and population dynamics in a changing climate,Richardson2009,Read - No Data available,2,No trend data
2015,"Mortality of Amur tigers: The more things change, the more they stay the same",Robinson2015344,Read - No Data available,2,No trend data
2015,Scenarios of large mammal loss in Europe for the 21st century,Rondinini2015,Read - No Data available,2,Range contraction/expansion
2006,The influence of climate variability on polar bear (Ursus maritimus) and ringed seal (Pusa hispida) population dynamics,RosingAsvid2006357,Read - No Data available,2,"Harvest data only - shows link between bear and seal popuulations under climate conditions, but does not provide an overall link to population trend."
2009,Estimating bobcat population sizes and densities in a fragmented urban landscape using noninvasive capture-recapture sampling,Ruell2009129,Read - No Data available,2,One data point
1997,Compatibility of brown bear Ursus arctos and free-ranging sheep in Norway,Sagor199791,Read - No Data available,2,No trend data
1997,"Summer food habits and population density of coyotes, Canis latrans, in boreal forests of southeastern Quebec",Samson1997227,Read - No Data available,2,One data point
2007,The arctic fox Alopex lagopus in Fennoscandia: A victim of human-induced changes in interspecific competition and predation?,Selas20073575,Read - No Data available,2,No trend data
1999,Decline of raccoon dog populations resulting from sarcoptic mange epizootics,Shibata1999281,Read - No Data available,2,No trend data
2010,Maned wolf survival rate in central Brazil,Sollmann2010207,Read - No Data available,2,No trend data
2017,Population status of the jaguar Panthera onca in one of its last strongholds in the Atlantic Forest,SrbekAraujo2017246,Read - No Data available,2,One data point
1998,From patterns to processes: Phase and density dependencies in the Canadian lynx cycle,Stenseth199815430,Read - No Data available,2,Lots of time-series data but its not made available
2010,Evaluation of bear rub surveys to monitor grizzly bear population trends,Stetz2010860,Read - No Data available,2,Simulation
2006,"Cougar exploitations levels in Utah: Implications for demographic structure, population recovery, and metapopulation dynamics",Stoner20061588,Read - No Data available,2,Not peer reviewed + Data already captured
2014,The relative importance of trophy harvest and retaliatory killing of large carnivores: South African leopards as a case study,Swanepoel2014115,Read - No Data available,2,No trend data
1998,Geographic expansion of an increasing brown bear population: Evidence for presaturation dispersal,Swenson1998,Read - No Data available,2,No trend data
1987,Modeling the sustainable harvest of female polar bears.,Taylor1987811,Read - No Data available,2,No trend data
2001,Managing the risk from hunting for the Viscount Melville Sound polar bear population,Taylor2001185,Read - No Data available,2,Simulation
2014,Climate change and landscape fragmentation jeopardize the population viability of the Siberian tiger (Panthera tigris altaica),Tian2014621,Read - No Data available,2,No trend data
2004,Dramatic decline of wild South China tigers Panthera tigris amoyensis: Field survey of priority tiger reserves,Tilson200440,Read - No Data available,2,One data point
2013,Fragmented populations of leopards in west-central Africa: Facing an uncertain future,Toni2013374,Read - No Data available,2,No trend data
2010,A monitoring program for Patagonian foxes based on power analysis,Travaini2010421,Read - No Data available,2,No trend data
2013,Beyond the mean: Sensitivities of the variance of population growth,Trotter2013290,Read - No Data available,2,"Simulation
analysis."
2016,"Status of the mountain ungulate prey of the Endangered snow leopard Panthera uncia in the Tost Local Protected Area, South Gobi, Mongolia",Tumursukh2016214,Read - No Data available,2,No trend data
2014,Re-evaluation of yellowstone grizzly bear population dynamics not supported by empirical data: Response to doak & cutler,VanManen2014323,Read - No Data available,2,Data already captured
2006,Adaptive management for reintroductions: Updating a wolf recovery model for Yellowstone National Park,Varley2006315,Read - No Data available,2,Data already captured
1999,Mitochondrial DNA phylogeography and population history of the grey wolf Canis lupus,Vila19992089,Read - No Data available,2,No trend data
2004,The influence of prey consumption and demographic stochasticity on population growth rate of Isle Royale wolves Canis lupus,Vucetich2004309,Read - No Data available,2,Data already captured
2017,"Conservation status of black bear (Ursus thibetanus) in the Kumrat valley, Pakistan",Wahid20171230,Read - No Data available,2,Unreliable - Predatory journal
1991,Conservation Genetics of the Endangered Isle Royale Gray Wolf,WAYNE199141,Read - No Data available,2,Data already captured
2017,"Falling apart? Insights and lessons from three recent studies documenting rapid and severe decline in terrestrial mammal assemblages of northern, south-eastern and south-Western Australia",Wayne2017114,Read - No Data available,2,Invasive. No time-frame
2005,"Factors affecting settling, survival, and viability of black bears reintroduced to Felsenthal National Wildlife Refuge, Arkansas",Wear20051363,Read - No Data available,2,Simulation
2015,Giant Pandas Are Not an Evolutionary cul-de-sac: Evidence from Multidisciplinary Research,Wei20154,Read - No Data available,2,No trend data
1999,Population dynamics of kit foxes,White1999486,Read - No Data available,2,No trend data
2008,Initial effects of reintroduced wolves Canis lupus on bighorn sheep Ovis canadensis dynamics in Yellowstone National Park,White2008138,Read - No Data available,2,Data already captured
2007,Modeling the effects of trophy selection and environmental disturbance on a simulated population of African lions,Whitman2007591,Read - No Data available,2,simulation
2015,A comparison of grizzly bear demographic parameters estimated from non-spatial and spatial open population capture-recapture models,Whittington2015,Read - No Data available,2,Data already captured
2001,Estimating effects of adult male mortality on grizzly bear population growth and persistence using matrix models,Wielgus2001293,Read - No Data available,2,simulation
2013,Effects of male trophy hunting on female carnivore population growth and persistence,Wielgus201369,Read - No Data available,2,No trend data
2013,Conservation Strategies for Species Affected by Apparent Competition,Wittmer2013254,Read - No Data available,2,No trend data
2016,Reconstructing the historical distribution of the Amur leopard (Panthera pardus orientalis) in Northeast China based on historical records,Yang2016143,Read - No Data available,2,Range contraction/expansion
1997,Analysis of the viability of a giant panda population,Zhou1997363,Read - No Data available,2,Simulation
2003,Changes in red fox numbers in eastern Germany after rabies vaccination [Bestandsentwicklung des fuchses in Ostdeutschland vor und nach der tollwutimpfung],Bellebaum200341,NA,2,Not-target language (German)
2009,Wolf population changes in Michigan,BeyerJr200965,NA,2,Cant access book
1983,The status and management of the wolf population in the USSR.,Bibikov1983269,NA,2,Cant find this title
2012,"Numbers, distribution and facts limiting the abundance of tigers (panthera tigris) in the Bardia national park extension area",Bogati2012145,NA,2,Cant access book
2010,Decline and recovery of the Island fox: A case study for population recovery,Coonan20101,NA,2,Cant access book
1997,Relative abundance wild rabbit (Oryctolagus cuniculus) and red fox (Vulpes vulpes) after rabbit haemorrhagic disease (RHD) in the Central Ebro Bassin in Northeastern Spain,Gortazar1997259,NA,2,Not-target language (German)
1989,Interrelationships of snow depth to primary and secondary predator/prey systems in the tundra/boreal ecotone of the Keewatin/Manitoba region,Hillis1989137,NA,2,Cant find this title
2008,Population trends and ecological traits of giant pandas in Foping Nature Reserve based on long-term monitoring data,Liu2008174,NA,2,Cant find this title
2007,Harvest and mortality of the brown bear in Gorski Kotar [Odstrjel i otpad smeCrossed d signeg medvjeda u Gorskom Kotaru],Majnaric200725,NA,2,Not-target language (Croatian)
1999,Infectious disease and the conservation of free-ranging large carnivores,Murray1999241,NA,2,Links to resources with data are in the paper
2002,A simulation model for population viability analysis of giant panda in Mabian Dafengding Nature Reserve,Ren2002264,NA,2,Cant access paper
1999,Death and captures of lynx (Lynx lynx) in France (1974-1998) [Mortalite et captures de lynx (Lynx lynx) en France (1974-1998)],Stahl199949,NA,2,Not-target language (French)
2009,Growth characteristics of a recovering wolf population in the great lakes region,VanDeelen2009139,NA,2,Cant find this title
2013,Carnivora Population Dynamics Are as Slow and as Fast as Those of Other Mammals: Implications for Their Conservation,vandeKerk2013,NA,2,Links to resources with data are in the paper
1983,Present problems of wolf preservation in Czechoslovakia.,Voskar1983287,NA,2,Cant access paper
1994,The people and the tiger,Ward199462,NA,2,Cant find this title
2013,Linking climate change to population cycles of hares and lynx,Yan20133263,NA,2,Possible data source - Data in NERC CPB but cant gain access
2006,Survival rates and causes of mortality in Eurasian lynx (Lynx lynx) in multi-use landscapes,Andren2006,Read - Data available,1,
2006,Assessing Tiger Population Dynamics Using Photographic Capture – Recapture Sampling,Aranth2006,Read - Data available,1,
2012,Current status and distribution of golden jackals Canis aureus in Europe,Arnold2012,Read - Data available,1,
2016,Status assessment of Eurasian lynx in Latvia linking genetics and demography—a growing population or a source–sink process?,Bagrade2016,Read - Data available,1,
2012,"Demographic parameters of endangered Asiatic lions ( Panthera leo persica ) in Gir Forests, India",Banerjee2012,Read - Data available,1,
2015,"Lion (Panthera leo) populations are declining rapidly across Africa, except in intensively managed areas",Bauer201514894,Read - Data available,1,
2000,Action plan for the conservation of wolves in Europe (Canis lupus),Boitani2000,Read - Data available,1,
2015,Rapid declines of large mammal populations after the collapse of the Soviet Union,Bragina2015844,Read - Data available,1,
2012,An improved procedure to estimate wolf abundance using non-invasive genetic sampling and capture-recapture mixture models,Caniglia2012,Read - Data available,1,
2014,Mapping trends of large and medium size carnivores of conservation interest in Romania,Cazacu201497,Read - Data available,1,
2014,Recovery of large carnivores in Europe's modern human-dominated landscapes,Chapron2014,Read - Data available,1,
2009,Does hunting regulate cougar populations? A test of the compensatory mortality hypothesis,Cooley20092913,Read - Data available,1,
2005,Decline of an island fox sub-species to near extinction,Coonan2005,Read - Data available,1,
2014,On the Fast Track to Recovery: Island Foxes on the Northern Channel Islands,Coonan2014,Read - Data available,1,
2008,Using a survey of carnivore conservationists to gain new insigth into the ecology and conservation status of the bush dog,DeMatteo2008,Read - Data available,1,
2012,Arctic fox versus red fox in the warming Arctic: Four decades of den surveys in north Yukon,Gallant20121421,Read - Data available,1,
2006,State and provincial estimates of American black bear numbers versus assessments of population trend,Garshelis20061,Read - Data available,1,
2012,Changes of population trends and mortality patterns in response to the reintroduction of large predators: The case study of African ungulates,Grange201216,Read - Data available,1,
2002,The status and conservation of the cheetah Acinonyx jubatus in Tanzania,Gros2002177,Read - Data available,1,
2017,"Long term monitoring of jaguars in the Cockscomb Basin Wildlife Sanctuary, Belize; Implications for camera trap studies of carnivores",Harmsen2017,Read - Data available,1,
2006,Lynx (Lynx lynx) killing red foxes (Vulpes vulpes) in boreal Sweden - Frequency and population effects,Helldin2006657,Read - Data available,1,
2009,Impact of conservation interventions on the dynamics and persistence of a persecuted leopard (Panthera pardus) population,ISI000270203100034,Read - Data available,1,
2017,Land sharing and land sparing reveal social and ecological synergy in big cat conservation,Jiang2017142,Read - Data available,1,
2011,Estimating population size and trends of the Swedish brown bear Ursus arctos population,Kindberg2011114,Read - Data available,1,
2000,Population trends in furbearers in Nebraska,Landholt2000,Read - Data available,1,Harvest data only
